issue_id,issue_create_at,first_comment_create_at,reply_time
326,2024-08-13 03:39:08+00:00,2024-08-13 03:59:04+00:00,0:19:56
325,2024-05-04 19:56:10+00:00,2024-05-05 02:59:08+00:00,7:02:58
324,2024-03-28 20:51:15+00:00,2024-03-28 21:06:19+00:00,0:15:04
323,2024-02-10 11:00:09+00:00,2024-02-11 03:42:54+00:00,16:42:45
322,2024-02-05 15:54:50+00:00,2024-02-05 18:24:54+00:00,2:30:04
321,2024-01-15 13:09:41+00:00,2024-01-16 01:45:37+00:00,12:35:56
320,2023-12-12 02:05:43+00:00,2023-12-12 04:39:51+00:00,2:34:08
319,2023-12-03 07:12:43+00:00,no comment,no comment
318,2023-12-03 04:21:17+00:00,2023-12-03 06:38:42+00:00,2:17:25
317,2023-10-05 18:26:44+00:00,no comment,no comment
316,2023-10-05 11:22:28+00:00,2023-10-05 23:40:16+00:00,12:17:48
315,2023-08-11 07:39:56+00:00,2023-08-11 16:21:44+00:00,8:41:48
314,2023-04-14 08:32:40+00:00,2023-04-14 14:19:36+00:00,5:46:56
313,2023-04-04 18:01:04+00:00,no comment,no comment
312,2023-03-14 18:14:41+00:00,2023-03-14 18:21:56+00:00,0:07:15
311,2023-02-05 19:02:56+00:00,no comment,no comment
310,2023-02-05 17:31:49+00:00,no comment,no comment
309,2023-02-05 16:17:08+00:00,2023-02-05 17:52:43+00:00,1:35:35
308,2023-02-04 21:44:39+00:00,no comment,no comment
307,2023-02-04 19:55:58+00:00,2023-02-04 23:44:26+00:00,3:48:28
306,2023-01-05 19:23:06+00:00,2023-01-05 20:02:24+00:00,0:39:18
305,2023-01-03 11:39:44+00:00,2023-01-03 11:41:17+00:00,0:01:33
304,2022-11-16 20:21:25+00:00,no comment,no comment
303,2022-11-16 11:58:52+00:00,2022-11-16 15:55:33+00:00,3:56:41
302,2022-11-14 19:12:40+00:00,no comment,no comment
301,2022-11-14 00:16:01+00:00,2022-11-14 03:14:31+00:00,2:58:30
300,2022-07-01 02:27:18+00:00,no comment,no comment
299,2022-07-01 01:31:00+00:00,2022-07-01 15:15:52+00:00,13:44:52
298,2022-04-21 13:49:10+00:00,no comment,no comment
297,2022-04-20 12:45:33+00:00,2022-04-20 15:54:48+00:00,3:09:15
296,2022-04-08 11:25:16+00:00,2022-04-08 13:04:32+00:00,1:39:16
295,2022-04-01 20:23:49+00:00,2022-04-01 21:04:44+00:00,0:40:55
294,2021-12-11 17:40:47+00:00,2021-12-11 20:03:18+00:00,2:22:31
293,2021-11-16 06:52:35+00:00,no comment,no comment
292,2021-11-15 18:44:41+00:00,no comment,no comment
291,2021-11-15 16:58:56+00:00,no comment,no comment
290,2021-11-15 09:53:56+00:00,2021-11-15 15:08:32+00:00,5:14:36
289,2021-08-24 04:19:29+00:00,no comment,no comment
288,2021-08-19 18:48:28+00:00,no comment,no comment
287,2021-08-19 17:59:22+00:00,no comment,no comment
286,2021-08-18 21:36:51+00:00,2021-08-18 22:42:53+00:00,1:06:02
285,2021-08-13 14:40:12+00:00,2021-08-13 18:30:48+00:00,3:50:36
284,2021-07-17 06:14:47+00:00,no comment,no comment
283,2021-07-06 21:02:10+00:00,no comment,no comment
282,2021-07-05 21:22:49+00:00,2021-07-09 03:57:04+00:00,"3 days, 6:34:15"
281,2021-07-04 08:43:23+00:00,2021-07-04 15:37:49+00:00,6:54:26
280,2021-06-10 06:27:54+00:00,2021-06-10 06:43:24+00:00,0:15:30
279,2021-05-21 01:03:17+00:00,2021-05-21 01:26:38+00:00,0:23:21
278,2021-04-23 02:44:05+00:00,2021-04-23 05:24:07+00:00,2:40:02
277,2021-04-16 09:33:28+00:00,2021-04-17 03:07:05+00:00,17:33:37
276,2021-04-11 14:43:21+00:00,2021-04-11 15:23:08+00:00,0:39:47
275,2021-01-29 03:24:20+00:00,2021-01-29 04:55:20+00:00,1:31:00
274,2021-01-02 21:05:06+00:00,no comment,no comment
273,2020-12-29 10:54:30+00:00,no comment,no comment
272,2020-12-18 18:30:24+00:00,2020-12-18 20:33:13+00:00,2:02:49
271,2020-12-18 09:30:55+00:00,no comment,no comment
270,2020-11-02 14:03:44+00:00,2020-11-18 14:31:12+00:00,"16 days, 0:27:28"
269,2020-10-28 20:48:09+00:00,2020-10-28 20:55:21+00:00,0:07:12
268,2020-10-12 10:52:44+00:00,2020-10-12 19:01:45+00:00,8:09:01
267,2020-09-26 07:40:41+00:00,2020-09-26 17:57:45+00:00,10:17:04
266,2020-09-03 13:15:48+00:00,no comment,no comment
265,2020-07-18 18:27:32+00:00,2020-07-18 19:19:44+00:00,0:52:12
264,2020-07-15 13:01:31+00:00,no comment,no comment
263,2020-07-03 06:54:22+00:00,2020-07-03 15:06:37+00:00,8:12:15
262,2020-04-29 06:26:23+00:00,2020-04-29 13:35:18+00:00,7:08:55
261,2020-04-16 14:06:03+00:00,2020-04-16 14:30:38+00:00,0:24:35
260,2020-03-14 16:44:57+00:00,no comment,no comment
259,2019-11-22 14:26:45+00:00,2019-11-22 15:28:58+00:00,1:02:13
258,2019-11-14 17:33:32+00:00,2019-11-14 17:37:56+00:00,0:04:24
257,2019-10-22 18:08:16+00:00,no comment,no comment
256,2019-10-20 16:21:33+00:00,no comment,no comment
255,2019-10-20 03:22:51+00:00,2019-10-20 15:55:57+00:00,12:33:06
254,2019-08-09 22:25:17+00:00,no comment,no comment
253,2019-08-01 10:10:22+00:00,2019-08-01 15:03:00+00:00,4:52:38
252,2019-07-30 21:13:14+00:00,2019-07-30 21:28:07+00:00,0:14:53
251,2019-07-13 19:03:30+00:00,2019-07-15 02:35:12+00:00,"1 day, 7:31:42"
250,2019-06-14 11:12:55+00:00,no comment,no comment
249,2019-05-10 18:56:10+00:00,2019-05-10 18:56:35+00:00,0:00:25
248,2019-04-18 16:27:17+00:00,2019-04-18 17:47:27+00:00,1:20:10
247,2019-04-17 17:05:48+00:00,2019-04-18 00:39:41+00:00,7:33:53
246,2019-04-17 11:34:53+00:00,2019-04-17 15:26:10+00:00,3:51:17
245,2019-03-21 23:19:01+00:00,2019-03-22 01:17:38+00:00,1:58:37
244,2019-03-05 04:27:56+00:00,2019-03-05 04:43:39+00:00,0:15:43
243,2019-02-04 14:28:29+00:00,2019-02-04 17:06:42+00:00,2:38:13
242,2019-01-31 07:18:06+00:00,2019-01-31 07:45:45+00:00,0:27:39
241,2018-11-04 14:21:28+00:00,2018-11-04 17:05:48+00:00,2:44:20
240,2018-10-18 10:08:38+00:00,2018-10-18 13:45:57+00:00,3:37:19
239,2018-10-10 17:34:54+00:00,2018-10-10 17:47:07+00:00,0:12:13
238,2018-09-11 18:41:35+00:00,2018-09-11 19:12:06+00:00,0:30:31
237,2018-09-08 18:46:55+00:00,2018-09-08 20:12:50+00:00,1:25:55
236,2018-09-06 18:48:55+00:00,no comment,no comment
235,2018-09-04 21:27:57+00:00,no comment,no comment
234,2018-09-04 16:19:26+00:00,no comment,no comment
233,2018-09-04 16:17:15+00:00,no comment,no comment
232,2018-09-04 07:12:26+00:00,2018-09-04 07:17:48+00:00,0:05:22
231,2018-09-03 09:07:47+00:00,no comment,no comment
230,2018-08-25 03:56:18+00:00,2018-08-25 06:20:46+00:00,2:24:28
229,2018-08-15 12:50:38+00:00,no comment,no comment
228,2018-08-14 01:24:55+00:00,2018-08-15 16:09:51+00:00,"1 day, 14:44:56"
227,2018-07-03 06:00:38+00:00,2018-07-03 06:08:22+00:00,0:07:44
226,2018-07-02 15:37:09+00:00,2018-07-02 15:42:54+00:00,0:05:45
225,2018-06-26 22:49:33+00:00,2018-06-26 22:58:29+00:00,0:08:56
224,2018-06-19 08:42:08+00:00,no comment,no comment
223,2018-06-13 07:16:19+00:00,no comment,no comment
222,2018-06-04 18:06:34+00:00,no comment,no comment
221,2018-06-04 07:54:26+00:00,2018-06-04 17:51:24+00:00,9:56:58
220,2018-04-25 16:39:06+00:00,no comment,no comment
219,2018-04-25 16:27:57+00:00,2018-08-18 20:14:33+00:00,"115 days, 3:46:36"
218,2018-04-25 09:09:40+00:00,2018-04-25 14:02:42+00:00,4:53:02
217,2018-04-25 08:19:47+00:00,no comment,no comment
216,2018-04-24 22:05:07+00:00,no comment,no comment
215,2018-04-24 17:37:48+00:00,no comment,no comment
214,2018-04-24 17:36:30+00:00,no comment,no comment
213,2018-04-24 15:05:25+00:00,2018-04-24 16:32:09+00:00,1:26:44
212,2018-04-03 16:53:40+00:00,2018-04-03 17:18:33+00:00,0:24:53
211,2018-03-28 23:20:51+00:00,2018-03-29 06:16:35+00:00,6:55:44
210,2018-03-27 22:46:30+00:00,no comment,no comment
209,2018-03-25 20:32:25+00:00,2018-03-26 01:04:08+00:00,4:31:43
208,2018-03-23 16:07:18+00:00,2018-03-23 16:08:15+00:00,0:00:57
207,2018-03-23 15:56:55+00:00,2018-03-23 17:11:26+00:00,1:14:31
206,2018-03-23 15:53:21+00:00,2018-03-23 17:15:22+00:00,1:22:01
204,2018-02-10 20:35:37+00:00,2018-02-10 20:59:11+00:00,0:23:34
203,2018-01-22 11:23:03+00:00,2018-01-22 18:57:41+00:00,7:34:38
202,2018-01-18 03:32:11+00:00,2018-01-18 17:40:03+00:00,14:07:52
201,2018-01-18 02:24:10+00:00,2018-01-18 02:43:31+00:00,0:19:21
200,2018-01-11 11:20:34+00:00,2018-01-11 18:14:07+00:00,6:53:33
199,2017-12-02 22:17:05+00:00,no comment,no comment
198,2017-12-02 21:45:01+00:00,no comment,no comment
197,2017-12-02 21:27:41+00:00,2017-12-02 22:28:02+00:00,1:00:21
196,2017-11-25 17:18:07+00:00,2017-11-27 18:43:47+00:00,"2 days, 1:25:40"
195,2017-11-24 08:47:49+00:00,2017-11-24 09:12:50+00:00,0:25:01
194,2017-11-24 07:57:45+00:00,no comment,no comment
193,2017-11-24 07:29:33+00:00,no comment,no comment
192,2017-11-16 15:26:59+00:00,2017-11-16 15:34:18+00:00,0:07:19
191,2017-11-10 20:28:48+00:00,no comment,no comment
